REGION,LOCALITE,NOM_BANQUE,CATEGORIE,NOM GUICHET,ADRESSE GUICHET,latitude,longitude
LOCALITE,BANQUE,CATEGORIE,CODE GUICHET,ADRESSE GUICHET,,,
SEFROU,AL BARID BANK,BANQUE CONVENTIONNELLE,2810274,"SEFROU BAB MEKAM              _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
SEFROU,AL BARID BANK,BANQUE CONVENTIONNELLE,2810277,CENTRE TAZOUTA 31004 SEFROU,,,
SEFROU,AL BARID BANK,BANQUE CONVENTIONNELLE,2810278,CENTRE AZZABA 31002 SEFROU,,,
SEFROU,AL BARID BANK,BANQUE CONVENTIONNELLE,2810288,CENTRE OULAD M'KOUDOU 31202 SEFROU,,,
SEFROU,AL BARID BANK,BANQUE CONVENTIONNELLE,2811042,N°39 LOTISSEMENT ESSALAM RESIDENCE DOUNYA BENSEFFAR SEFROU,,,
SELOUANE,AL BARID BANK,BANQUE CONVENTIONNELLE,5120424,"SELOUANE                      _x000D_
       _x000D_
_x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
SETTAT,AL BARID BANK,BANQUE CONVENTIONNELLE,6100820,CENTRE DEROUA OULAD ZYANE ROUTE MEDIOUNA  26202 SETTAT,,,
SETTAT,AL BARID BANK,BANQUE CONVENTIONNELLE,6100866,"SETTAT PRINCIPAL              _x000D_
           _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
  _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
SETTAT,AL BARID BANK,BANQUE CONVENTIONNELLE,6100873,"CENTRE BNI KHLOUG CERCLE EL BOUROUJ 26152 SETTAT     _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
SETTAT,AL BARID BANK,BANQUE CONVENTIONNELLE,6100874,"CENTRE SIDI RAHAL CHAOUIA 26652 SETTAT     _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
SETTAT,AL BARID BANK,BANQUE CONVENTIONNELLE,6100875,"QUARTIER ADMINISTRATIF  GUISSER  26352 SETTAT     _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
SETTAT,AL BARID BANK,BANQUE CONVENTIONNELLE,6100876,"SETTAT EL FARAH               _x000D_
   _x000D_
_x000D_
_x000D_
            _x000D_
_x000D_
           _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
  _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
SETTAT,AL BARID BANK,BANQUE CONVENTIONNELLE,6100879,"SETTAT SAMIR                    _x000D_
   _x000D_
_x000D_
_x000D_
            _x000D_
_x000D_
           _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
  _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
SETTAT,AL BARID BANK,BANQUE CONVENTIONNELLE,6100965,"ANGLE BD MOHAMED SMIHA ET MOULAY YACOUB HAY MIMOUNA SETTAT_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
SETTAT,AL BARID BANK,BANQUE CONVENTIONNELLE,6101005,"AGENCE MOBILE SETTAT PRINCIPALE_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
SETTAT,AL BARID BANK,BANQUE CONVENTIONNELLE,6101053,"183, BOULEVARD ABDERRAHMAN SKIREDJ, SETTAT",,,
SID L'MOKHTAR,AL BARID BANK,BANQUE CONVENTIONNELLE,4680941,CENTRE SIDI MOKHTAR 41152 CHICHAOUA,,,
SIDI ABDERRAZAK,AL BARID BANK,BANQUE CONVENTIONNELLE,3750368,CENTRE SIDI ABDERRAZAK,,,
SIDI ALLAL EL BAHRAOUI,AL BARID BANK,BANQUE CONVENTIONNELLE,3760369,"SIDI ALLAL EL BAHRAOUI        _x000D_
_x000D_
               _x000D_
   _x000D_
",,,
SIDI ALLAL TAZI,AL BARID BANK,BANQUE CONVENTIONNELLE,3400104,"ALLAL TAZI                    _x000D_
            _x000D_
             _x000D_
             _x000D_
    _x000D_
               _x000D_
",,,
SIDI BENNOUR,AL BARID BANK,BANQUE CONVENTIONNELLE,1790893,"SIDI BENNOUR                  _x000D_
_x000D_
_x000D_
_x000D_
            _x000D_
_x000D_
           _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
  _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
SIDI BENNOUR,AL BARID BANK,BANQUE CONVENTIONNELLE,1790960,HAY AL MASSIRA ROUTE ZEMAMRA 24354 SIDI BENNOUR,,,
SIDI BETTACHE,AL BARID BANK,BANQUE CONVENTIONNELLE,3720339,CENTRE SIDI BETTACHE,,,
SIDI BIBI,AL BARID BANK,BANQUE CONVENTIONNELLE,0320969,COMMUNE SIDI BIBI 87274,,,
SIDI BOU OTHMANE,AL BARID BANK,BANQUE CONVENTIONNELLE,1970940,CENTRE SIDI BOU OTHMANE 43303 EL KELAA DES SRAGHNA,,,
SIDI BOUKNADEL,AL BARID BANK,BANQUE CONVENTIONNELLE,8240121,"BOUKNADEL                                  _x000D_
_x000D_
             _x000D_
             _x000D_
    _x000D_
               _x000D_
",,,
SIDI BOUSBER,AL BARID BANK,BANQUE CONVENTIONNELLE,3430361,CENTRE SIDI BOUSBER,,,
SIDI BOUZID ARRAGRAGUI,AL BARID BANK,BANQUE CONVENTIONNELLE,1750881,"SIDI BOUZID                     _x000D_
   _x000D_
_x000D_
_x000D_
            _x000D_
_x000D_
           _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
  _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
SIDI HAJJAJ,AL BARID BANK,BANQUE CONVENTIONNELLE,6190799,BD EL AMIR SIDI MOHAMED 26602 OULAD MRAH,,,
SIDI HARAZEM,AL BARID BANK,BANQUE CONVENTIONNELLE,2740048,CENTRE SIDI HRAZEM,,,
SIDI IFNI,AL BARID BANK,BANQUE CONVENTIONNELLE,7610628,AVENUE MOHAMED V SIDI IFNI,,,
SIDI IFNI,AL BARID BANK,BANQUE CONVENTIONNELLE,7610669,AVENUE BOUJDOUR LALLA MERYEM 85202 SIDI IFNI,,,
SIDI KACEM,AL BARID BANK,BANQUE CONVENTIONNELLE,3460337,SIDI KACEM,,,
SIDI KACEM,AL BARID BANK,BANQUE CONVENTIONNELLE,3460343,"SIDI KACEM                    _x000D_
             _x000D_
            _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
SIDI KACEM,AL BARID BANK,BANQUE CONVENTIONNELLE,3460346,"SIDI KACEM ZAOUIA             _x000D_
             _x000D_
            _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
SIDI LYAMANI,AL BARID BANK,BANQUE CONVENTIONNELLE,6460330,SIDI LYAMANI,,,
SIDI MOUSSA BEN ALI,AL BARID BANK,BANQUE CONVENTIONNELLE,1230933,CENTRE  SIDI MOUSSA BEN ALI 28814 MOHAMMEDIA,,,
SIDI RAHAL CHATAI,AL BARID BANK,BANQUE CONVENTIONNELLE,6250978,SIDI RAHHAL PLAGE,,,
SIDI RAHHAL,AL BARID BANK,BANQUE CONVENTIONNELLE,1960942,"CENTRE SIDI RAHAL QUARTIER ADMINISTRATIF 43352 SIDI RAHAL      _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
SIDI REDOUANE,AL BARID BANK,BANQUE CONVENTIONNELLE,3440336,CENTRE SIDI REDOUANE,,,
SIDI SLIMANE,AL BARID BANK,BANQUE CONVENTIONNELLE,3490347,"SIDI SLIMANE                  _x000D_
             _x000D_
            _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
SIDI SLIMANE,AL BARID BANK,BANQUE CONVENTIONNELLE,3490349,"SIDI SLIMANE OULAD EL GHAZI   _x000D_
        _x000D_
            _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
SIDI SLIMANE,AL BARID BANK,BANQUE CONVENTIONNELLE,3490350,"SIDI SLIMANE 5EME BAFRA       _x000D_
_x000D_
        _x000D_
            _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
SIDI SMAIL,AL BARID BANK,BANQUE CONVENTIONNELLE,1840895,"CENTRE SIDI SMAIL QUARTIER  ADMINISTRATIF 24402 EL JADIDA_x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
SIDI YAHIA,AL BARID BANK,BANQUE CONVENTIONNELLE,5720403,"ROUTE SIDI YAHYA, QUARTIER EL KHALFAOUI, 60702 OUJDA",,,
SIDI YAHYA EL GHARB,AL BARID BANK,BANQUE CONVENTIONNELLE,3320102,"AV MOHAMED V, SIDI YAHYA EL GHARB",,,
SIDI YAHYA ZAER,AL BARID BANK,BANQUE CONVENTIONNELLE,1240122,ROUTE TEMARA CENTRE DE SIDI YAHYA ZAERS,,,
SKHIRATE,AL BARID BANK,BANQUE CONVENTIONNELLE,8210119,"SKHIRATE                                   _x000D_
_x000D_
             _x000D_
             _x000D_
    _x000D_
               _x000D_
",,,
SKHOUR REHAMNA,AL BARID BANK,BANQUE CONVENTIONNELLE,2040724,ROUTE DE CASA  HAY AL MASSIRA  43402 EL KELAA DES SRAGHNA,,,
SKOURA AHL EL OUST,AL BARID BANK,BANQUE CONVENTIONNELLE,5530736,CENTRE SKOURA 45502 OUARZAZATE,,,
SMIMOU,AL BARID BANK,BANQUE CONVENTIONNELLE,2560917,"CENTRE SMIMOU 44053 ESSAOUIRA_x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
SOUALEM TRIFIYA,AL BARID BANK,BANQUE CONVENTIONNELLE,6290878,"CENTRE HAD SOUALEM  26402 SETTAT    _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
SOUK EL ARBAA,AL BARID BANK,BANQUE CONVENTIONNELLE,3530352,RUE HANNAA HAY ESSALAM 14303 SOUK EL ARBAA,,,
SOUK EL ARBAA,AL BARID BANK,BANQUE CONVENTIONNELLE,3530354,AVENUE MFADEL CHERKAOUI 14304 SOUK EL ARBAA,,,
SOUK SEBT OULED NEMMA,AL BARID BANK,BANQUE CONVENTIONNELLE,0950830,BD MOHAMED VI SOUK SEBT OULAD NEMMA,,,
SOUK TLET EL GHARB,AL BARID BANK,BANQUE CONVENTIONNELLE,3590360,CENTRE TLET EL GHARB,,,
TABANT,AL BARID BANK,BANQUE CONVENTIONNELLE,0720789,QUARTIER  ADMINISTRATIF   TABANT 22452,,,
TAFERSIT,AL BARID BANK,BANQUE CONVENTIONNELLE,5280430,RUE PRINCIPALE TAFERSITE CENTRE,,,
TAFETACHTE,AL BARID BANK,BANQUE CONVENTIONNELLE,2430919,CENTRE TAFETACHT 44102 ESSAOUIRA,,,
TAFINGOULT,AL BARID BANK,BANQUE CONVENTIONNELLE,0460651,TAFINGOULT CENTRE 83452 TAROUDANT,,,
TAFOUGHALT,AL BARID BANK,BANQUE CONVENTIONNELLE,5810396,CENTRE TAFOUGHALT,,,
TAFRANT,AL BARID BANK,BANQUE CONVENTIONNELLE,6730128,"QUARTIER ADMINISTRATIF TAFRANT_x000D_
",,,
TAFRAOUT,AL BARID BANK,BANQUE CONVENTIONNELLE,7650635,PLACE MOHAMED V TAFRAOUTE,,,
TAGHJIJT,AL BARID BANK,BANQUE CONVENTIONNELLE,3270631,ROUTE DE BOUIZAKARNE TAGHJIJT,,,
TAGHZIRT,AL BARID BANK,BANQUE CONVENTIONNELLE,0980814,"CENTRE TAGHZIRTE  23652 BENI MELLAL                _x000D_
   _x000D_
_x000D_
",,,
TAGLEFT,AL BARID BANK,BANQUE CONVENTIONNELLE,0870794,QUARTIER ADMINISTRATIF TAGLEFT 22502 AZILAL,,,
TAGOUNITE,AL BARID BANK,BANQUE CONVENTIONNELLE,5680737,TAGOUNITE HAY AL MASSIRA 47552 ZAGORA,,,
TAHANNAOUT,AL BARID BANK,BANQUE CONVENTIONNELLE,4750944,"TAHANAOUTE                    _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
TAHLA,AL BARID BANK,BANQUE CONVENTIONNELLE,7110260,CENTRE TAHALA 35302 TAHLA,,,
TAINASTE,AL BARID BANK,BANQUE CONVENTIONNELLE,7160297,CENTRE TAINAST,,,
TALAT N'YAAQOUB,AL BARID BANK,BANQUE CONVENTIONNELLE,4620943,"CENTRE TLETA N'YACOUB  42353 AL HAOUZ                   _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
TALIOUINE,AL BARID BANK,BANQUE CONVENTIONNELLE,5610733,TALIOUINE CENTRE 83502 TALIOUINE,,,
TALMEST,AL BARID BANK,BANQUE CONVENTIONNELLE,2480920,"CENTRE TALMEST QUARTIER ADMINISTRATIF 44152 TALMEST                _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
TALSINT,AL BARID BANK,BANQUE CONVENTIONNELLE,3180223,BD EL BARID CITE ADMINISTRATIF TALSSINT,,,
TAMALLALT,AL BARID BANK,BANQUE CONVENTIONNELLE,2070938,"TAMELELT                      _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
TAMANAR,AL BARID BANK,BANQUE CONVENTIONNELLE,2510916,"TAMANAR                       _x000D_
",,,
TAMRI,AL BARID BANK,BANQUE CONVENTIONNELLE,0240600,"CENTRE DE TAMRI_x000D_
_x000D_
 _x000D_
_x000D_
",,,
TAN TAN,AL BARID BANK,BANQUE CONVENTIONNELLE,6500625,"AVENUE HASSAN II CENTRE 82004 TAN TAN_x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
TAN TAN,AL BARID BANK,BANQUE CONVENTIONNELLE,6500626,"TAN TAN  MEDINA                _x000D_
_x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
TAN TAN,AL BARID BANK,BANQUE CONVENTIONNELLE,6500676,"TAN TAN CITE ADMINISTRATIVE   _x000D_
_x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
TAN TAN,AL BARID BANK,BANQUE CONVENTIONNELLE,6500678,BOULEVARD HASSAN 2 82103 EL OUATIA,,,
TANALT,AL BARID BANK,BANQUE CONVENTIONNELLE,0160644,TANALT CENTRE 87552 CHTOUKA AIT BAHA,,,
TANANT,AL BARID BANK,BANQUE CONVENTIONNELLE,0760787,TANANT,,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400371,"TANGER 20 AOUT                _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400373,"TANGER PPAL                   _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400374,"TANGER AL IRFANE              _x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400375,"TANGER EL OUAFAE                         _x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400377,"TANGER AEROPORT                          _x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400378,"TANGER BIR CHIFAE                        _x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400379,"TANGER COMPLEXE HASSAN                   _x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400380,"TANGER MESNANA                           _x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400383,"TANGER SOUANI                            _x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400384,"TANGER DRISSIA                           _x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400385,"TANGER MSALLAH                           _x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400387,"TANGER DRADEB                            _x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400388,"TANGER VAL FLEURI                        _x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400389,"TANGER AL MAJD                           _x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400988,"CTR D'AFFAIRES PORT TANGER MED _x000D_
_x000D_
_x000D_
_x000D_
",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400991,"RUE RAHAL BEN AHMED, BENDIBANE FLORENCIA   TANGER",,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400992, ANGLE RUE TANGER ET RUE CHAHID EL ALAMI TAGHZOUTI N° 71 LOT OUMNIA 900075 TANGER,,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400993,AVENUE ABI EZZARAA N° 54  90074 TANGER,,,
TANGER,AL BARID BANK,BANQUE CONVENTIONNELLE,6400996,"AGENCE MOBILE TANGER PRINCIPAL_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
TAOUNATE,AL BARID BANK,BANQUE CONVENTIONNELLE,6600271,SEBT BNI NAJROU RATBA 34102 TAOUNATE,,,
TAOUNATE,AL BARID BANK,BANQUE CONVENTIONNELLE,6600279,SOUK LATNINE KHLALFA 34002 TAOUNATE,,,
TAOUNATE,AL BARID BANK,BANQUE CONVENTIONNELLE,6600281,TAOUNATE ASTAR,,,
TAOUNATE,AL BARID BANK,BANQUE CONVENTIONNELLE,6600282,TAOUNATE PPAL,,,
TAOUNATE,AL BARID BANK,BANQUE CONVENTIONNELLE,6600286,DOUAR HAMROUJ BOUADEL DOUAR BASSILA 34005 TAOUNATE,,,
TAOURIRT,AL BARID BANK,BANQUE CONVENTIONNELLE,5850438,"TAOURIRT                      _x000D_
       _x000D_
",,,
TAOURIRT,AL BARID BANK,BANQUE CONVENTIONNELLE,5850441,"TAOURIRT NAHDA                _x000D_
           _x000D_
      _x000D_
      _x000D_
       _x000D_
",,,
TARFAYA,AL BARID BANK,BANQUE CONVENTIONNELLE,4370632,"TARFAYA                        _x000D_
_x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
TARGUIST,AL BARID BANK,BANQUE CONVENTIONNELLE,0610464,"TARGUIST                      _x000D_
 _x000D_
_x000D_
       _x000D_
_x000D_
            _x000D_
           _x000D_
      _x000D_
      _x000D_
       _x000D_
",,,
TAROUDANNT,AL BARID BANK,BANQUE CONVENTIONNELLE,0410645,"TAROUDANNT                     _x000D_
_x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
TAROUDANNT,AL BARID BANK,BANQUE CONVENTIONNELLE,0410649,"AIT ABDALLAH                  _x000D_
_x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
TAROUDANNT,AL BARID BANK,BANQUE CONVENTIONNELLE,0410670,SEBT TATAOUTE  CENTRE 83253 TAROUDANNT,,,
TAROUDANNT,AL BARID BANK,BANQUE CONVENTIONNELLE,0410680,"TAROUDANNT MEDINA              _x000D_
_x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
TAROUDANNT,AL BARID BANK,BANQUE CONVENTIONNELLE,0410977,ASKAOUEN CENTRE 83150 TAROUDANT,,,
TATA,AL BARID BANK,BANQUE CONVENTIONNELLE,6800648,"TATA                           _x000D_
_x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
TATOFT,AL BARID BANK,BANQUE CONVENTIONNELLE,7330320,CENTRE TATOFT,,,
TAZA,AL BARID BANK,BANQUE CONVENTIONNELLE,6900259,CENTRE MATMATA 35203 TAZA,,,
TAZA,AL BARID BANK,BANQUE CONVENTIONNELLE,6900290," TAZA PRINCIPAL               _x000D_
             _x000D_
            _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
TAZA,AL BARID BANK,BANQUE CONVENTIONNELLE,6900291,"TAZA BIT GHOULAM              _x000D_
             _x000D_
            _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
TAZA,AL BARID BANK,BANQUE CONVENTIONNELLE,6900296,"TAZA HAUT                     _x000D_
             _x000D_
            _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
TAZA,AL BARID BANK,BANQUE CONVENTIONNELLE,6900299,CENTRE MSILA,,,
TAZA,AL BARID BANK,BANQUE CONVENTIONNELLE,6900308,CENTRE HAD OULAD ZBAIR 35042 TAZA,,,
TAZA,AL BARID BANK,BANQUE CONVENTIONNELLE,6900310,"TAZA GARE                     _x000D_
             _x000D_
            _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
TAZA,AL BARID BANK,BANQUE CONVENTIONNELLE,6900987,BD MY YOUSSEF N° 4 RESLAMRINI TAZA   ,,,
TAZA,AL BARID BANK,BANQUE CONVENTIONNELLE,6901006,"AGENCE MOBILE TAZA PRINCIPALE_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
TAZARINE,AL BARID BANK,BANQUE CONVENTIONNELLE,5690739,TAZARINE CENTRE 47703 ZAGORA,,,
TAZNAKHT,AL BARID BANK,BANQUE CONVENTIONNELLE,5630734,"TAZNAKHTE                      _x000D_
_x000D_
              _x000D_
                   _x000D_
                    _x000D_
    _x000D_
",,,
TEMARA,AL BARID BANK,BANQUE CONVENTIONNELLE,8250018,TEMARRA PPL,,,
TEMARA,AL BARID BANK,BANQUE CONVENTIONNELLE,8250019,TEMARA  FOUARATE,,,
TEMARA,AL BARID BANK,BANQUE CONVENTIONNELLE,8250020,TEMARA AL WIFAK,,,
TEMARA,AL BARID BANK,BANQUE CONVENTIONNELLE,8250116,TEMARA BASSATINE EL MENEZH,,,
TEMARA,AL BARID BANK,BANQUE CONVENTIONNELLE,8250144,TEMARRA MASSIRA,,,
TEMARA,AL BARID BANK,BANQUE CONVENTIONNELLE,8250180,"TEMARRA HAY MAGHRIB EL ARABI  _x000D_
_x000D_
     _x000D_
       _x000D_
_x000D_
",,,
TEMARA,AL BARID BANK,BANQUE CONVENTIONNELLE,8250181,"TEMARA MOULAY ALI CHERIF      _x000D_
",,,
TEMARA,AL BARID BANK,BANQUE CONVENTIONNELLE,8250227,TEMARRA FATH EL KHEIR,,,
TEMARA,AL BARID BANK,BANQUE CONVENTIONNELLE,8251027,LOT RIAD OULED METAA SECTEUR 2 N°388 TEMARA OULED METAA,,,
TEMSAMANE,AL BARID BANK,BANQUE CONVENTIONNELLE,5250447,"RUE 5 A COTE EL MASJID KEROUNA 62402 NADOR_x000D_
",,,
TEMSIA,AL BARID BANK,BANQUE CONVENTIONNELLE,0300598,TEMSIA,,,
TEMSIA,AL BARID BANK,BANQUE CONVENTIONNELLE,0300606,AEOPORT D'AGADIR AL MASSIRA TEMSIA,,,
TENDRARA,AL BARID BANK,BANQUE CONVENTIONNELLE,3130406,TENDRARA,,,
TEROUAL,AL BARID BANK,BANQUE CONVENTIONNELLE,3450335,CENTRE TEROUAL,,,
TETOUAN,AL BARID BANK,BANQUE CONVENTIONNELLE,7200449,EN FACE DE EL KIADA CENTRE ASMATEN AL HAMRA 93015 TETOUAN,,,
TETOUAN,AL BARID BANK,BANQUE CONVENTIONNELLE,7200451,"TETOUAN PPAL                  _x000D_
 _x000D_
_x000D_
       _x000D_
_x000D_
            _x000D_
           _x000D_
      _x000D_
      _x000D_
       _x000D_
",,,
TETOUAN,AL BARID BANK,BANQUE CONVENTIONNELLE,7200453,"TETOUAN TOUILAA               _x000D_
 _x000D_
_x000D_
       _x000D_
_x000D_
            _x000D_
           _x000D_
      _x000D_
      _x000D_
       _x000D_
",,,
TETOUAN,AL BARID BANK,BANQUE CONVENTIONNELLE,7200458,"TETOUAN MHANECH               _x000D_
 _x000D_
_x000D_
       _x000D_
_x000D_
            _x000D_
           _x000D_
      _x000D_
      _x000D_
       _x000D_
",,,
TETOUAN,AL BARID BANK,BANQUE CONVENTIONNELLE,7200459,"TETOUAN MY EL HASSAN          _x000D_
 _x000D_
_x000D_
       _x000D_
_x000D_
            _x000D_
           _x000D_
      _x000D_
      _x000D_
       _x000D_
",,,
TETOUAN,AL BARID BANK,BANQUE CONVENTIONNELLE,7200460,TETOUAN SIDI TALHA,,,
TETOUAN,AL BARID BANK,BANQUE CONVENTIONNELLE,7200461,TETOUAN TOUABEL,,,
TETOUAN,AL BARID BANK,BANQUE CONVENTIONNELLE,7200486,"TETOUAN TABOULA               _x000D_
",,,
TETOUAN,AL BARID BANK,BANQUE CONVENTIONNELLE,7201054,AGENCE MOBILE TETOUAN,,,
