REGION,LOCALITE,NOM_BANQUE,CATEGORIE,NOM GUICHET,ADRESSE GUICHET,latitude,longitude
LOCALITE,BANQUE,CATEGORIE,CODE GUICHET,ADRESSE GUICHET,,,
AIN TAOUJDATE,AL BARID BANK,BANQUE CONVENTIONNELLE,4920070,"AIN TAOUJDATE                  _x000D_
                _x000D_
     _x000D_
                _x000D_
                      _x000D_
",,,
AIN ZOHRA,AL BARID BANK,BANQUE CONVENTIONNELLE,5020446,AIN ZORAH,,,
AIT AATAB ( CERCLE DE BZOU ),AL BARID BANK,BANQUE CONVENTIONNELLE,0750813,CENTRE AIT ATTAB  22102 AZILAL,,,
AIT BAHA,AL BARID BANK,BANQUE CONVENTIONNELLE,0120590,"TAALAT                        _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
     _x000D_
_x000D_
 _x000D_
 _x000D_
_x000D_
     _x000D_
    _x000D_
  _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
AIT BAHA,AL BARID BANK,BANQUE CONVENTIONNELLE,0120599,"AIT AMIRA                     _x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
AIT BAHA,AL BARID BANK,BANQUE CONVENTIONNELLE,0120614,"AIT BAHA                      _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
AIT BAHA,AL BARID BANK,BANQUE CONVENTIONNELLE,0120638,TNINE HILALA CHTOUKA AIT BAHA,,,
AIT DAOUD,AL BARID BANK,BANQUE CONVENTIONNELLE,2520922,AIT DAOUD,,,
AIT ERKHA,AL BARID BANK,BANQUE CONVENTIONNELLE,7720641,AIT ERKHA   CENTRE 85052 TIZNIT,,,
AIT ISHAQ,AL BARID BANK,BANQUE CONVENTIONNELLE,3860190,"AVENUE EL AMIR SIDI MOHAMED, HAY ESSAADA AIT ISHAK_x000D_
",,,
AIT MELLOUL,AL BARID BANK,BANQUE CONVENTIONNELLE,0220582,"AIT MELLOUL HAY AZROU         _x000D_
 _x000D_
 _x000D_
_x000D_
     _x000D_
    _x000D_
  _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
AIT MELLOUL,AL BARID BANK,BANQUE CONVENTIONNELLE,0220586,"AIT MELLOUL ZONE INDUSTRIELLE _x000D_
_x000D_
      _x000D_
     _x000D_
_x000D_
 _x000D_
 _x000D_
_x000D_
     _x000D_
    _x000D_
  _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
AIT MELLOUL,AL BARID BANK,BANQUE CONVENTIONNELLE,0220620,"AV. AL MOUQUAOUAMA, YMNA SMAIL, AIT MELLOUL",,,
AIT MELLOUL,AL BARID BANK,BANQUE CONVENTIONNELLE,0220621,ROUTE DE TIZNIT  HAY RIAD  AIT MELLOUL,,,
AIT M'HAMED,AL BARID BANK,BANQUE CONVENTIONNELLE,0710790,CENTRE AIT M'HAMED  22152 AZILAL,,,
AIT OURIR,AL BARID BANK,BANQUE CONVENTIONNELLE,4540726,"AIT OURIR                        _x000D_
              _x000D_
                   _x000D_
                    _x000D_
    _x000D_
",,,
AIT YADINE,AL BARID BANK,BANQUE CONVENTIONNELLE,3630317,ROUTE SIDI SLIMANE AIT YADINE,,,
AJDIR,AL BARID BANK,BANQUE CONVENTIONNELLE,6970294,"AJDIR                         _x000D_
             _x000D_
            _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
AKKA,AL BARID BANK,BANQUE CONVENTIONNELLE,6810642,"BD 6 NOVEMBRE, 84054 AKKA",,,
AKLIM,AL BARID BANK,BANQUE CONVENTIONNELLE,5770397,"AKLIM                                  _x000D_
_x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
AKNOUL,AL BARID BANK,BANQUE CONVENTIONNELLE,6960292,"AKNOUL                        _x000D_
             _x000D_
            _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
AL AAROUI,AL BARID BANK,BANQUE CONVENTIONNELLE,5150435,MONTE ARRUI,,,
AL HOCEIMA,AL BARID BANK,BANQUE CONVENTIONNELLE,0500463,"AL HOCEIMA PRINCIPAL          _x000D_
 _x000D_
_x000D_
       _x000D_
_x000D_
            _x000D_
           _x000D_
      _x000D_
      _x000D_
       _x000D_
",,,
AL HOCEIMA,AL BARID BANK,BANQUE CONVENTIONNELLE,0500467,"TORRES DE ALCALA              _x000D_
    _x000D_
",,,
AL HOCEIMA,AL BARID BANK,BANQUE CONVENTIONNELLE,0500469,CENTRE DE LA COMMUNE IMRABTEN 32202 AL HOCEIMA,,,
AL HOCEIMA,AL BARID BANK,BANQUE CONVENTIONNELLE,0500477,CENTRE DE LA COMMUNE ROUADI  AL HOCEIMA,,,
AL HOCEIMA,AL BARID BANK,BANQUE CONVENTIONNELLE,0500478,"AL HOCEIMA SIDI ABID          _x000D_
_x000D_
                 _x000D_
_x000D_
  _x000D_
    _x000D_
",,,
AL HOCEIMA,AL BARID BANK,BANQUE CONVENTIONNELLE,0500479,ROUTE DE TETOUAN CENTRE AIT YOUSSEF OU ALI   AL HOCEIMA,,,
AL HOCEIMA,AL BARID BANK,BANQUE CONVENTIONNELLE,0501050,AGENCE MOBILE,,,
ALNIF,AL BARID BANK,BANQUE CONVENTIONNELLE,2190172,ALNIF CENTRE,,,
AMIZMIZ,AL BARID BANK,BANQUE CONVENTIONNELLE,4610717,"AMIZMIZ                        _x000D_
_x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
ANZI,AL BARID BANK,BANQUE CONVENTIONNELLE,7540660,QUARTIER ADMINISTRATIF ANZI TIZNIT,,,
AOUFOUS,AL BARID BANK,BANQUE CONVENTIONNELLE,2110169,AOUFOUS CENTRE,,,
AOULOUZ,AL BARID BANK,BANQUE CONVENTIONNELLE,0430652,"AOULOUZ                       _x000D_
_x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
AOURIR,AL BARID BANK,BANQUE CONVENTIONNELLE,0170681,"AOURIR                         _x000D_
_x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
AOUSSERD,AL BARID BANK,BANQUE CONVENTIONNELLE,5310779,CENTRE 74002 AOUSSERD,,,
ARBAA RASMOUKA,AL BARID BANK,BANQUE CONVENTIONNELLE,7510663,AMICAL AL FATH ARBAA RASMOUKA CENTRE 85152 TIZNIT,,,
ARBAOUA,AL BARID BANK,BANQUE CONVENTIONNELLE,3540355,"ARBAOUA                          _x000D_
_x000D_
        _x000D_
            _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
AREKMANE,AL BARID BANK,BANQUE CONVENTIONNELLE,5200423,"KARIAT ARKMANE                _x000D_
       _x000D_
_x000D_
                  _x000D_
    _x000D_
   _x000D_
_x000D_
_x000D_
               _x000D_
   _x000D_
",,,
ARFOUD,AL BARID BANK,BANQUE CONVENTIONNELLE,2180167,ANGLE AVENUE MY ISMAIL ET AVENUE MOHAMRD V 52203 ARFOUD,,,
ARGANA,AL BARID BANK,BANQUE CONVENTIONNELLE,0290619,ARGANA TAROUDANT,,,
ASNI,AL BARID BANK,BANQUE CONVENTIONNELLE,4780939,CENTRE  ASNI 42152 AL HAOUZ,,,
ASRIR,AL BARID BANK,BANQUE CONVENTIONNELLE,3210210,"AVENUE HASSAN II FERKLA EL OULIA, ASRIR",,,
ASSA,AL BARID BANK,BANQUE CONVENTIONNELLE,3230634,"ASSA                           _x000D_
_x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
ASSILAH,AL BARID BANK,BANQUE CONVENTIONNELLE,6430324,"ASILAH                        _x000D_
             _x000D_
            _x000D_
_x000D_
_x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
ASSOUL,AL BARID BANK,BANQUE CONVENTIONNELLE,2150206,ASSOUL CENTRE,,,
AZEMMOUR,AL BARID BANK,BANQUE CONVENTIONNELLE,1760890,"AZEMMOUR                        _x000D_
   _x000D_
_x000D_
_x000D_
            _x000D_
_x000D_
           _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
  _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
AZILAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0700785,"AZILAL                        _x000D_
                 _x000D_
_x000D_
_x000D_
_x000D_
",,,
AZILAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0700791,CENTRE BNI A'YAT  22652 AZILAL,,,
AZILAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0700798,CENTRE FOUM JEMAA  22353 AZILAL,,,
AZILAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0700816,"BINE EL OUIDANE                      _x000D_
          _x000D_
                     _x000D_
                 _x000D_
_x000D_
_x000D_
_x000D_
",,,
AZILAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0700817,CENTRE TNINE TIMOULILT  22702 AZILAL,,,
AZILAL,AL BARID BANK,BANQUE CONVENTIONNELLE,0700822,CENTRE  TISLIT  22352   AZILAL,,,
AZROU,AL BARID BANK,BANQUE CONVENTIONNELLE,4250160,"AZROU AHADAF_x000D_
_x000D_
                  _x000D_
",,,
AZROU,AL BARID BANK,BANQUE CONVENTIONNELLE,4250161,"AZROU PRINCIPAL                _x000D_
_x000D_
             _x000D_
         _x000D_
             _x000D_
_x000D_
_x000D_
                  _x000D_
",,,
BAB BERRED,AL BARID BANK,BANQUE CONVENTIONNELLE,1510474,"BAB BERRET                    _x000D_
 _x000D_
_x000D_
       _x000D_
_x000D_
            _x000D_
           _x000D_
      _x000D_
      _x000D_
       _x000D_
",,,
BAB EL MROUJ,AL BARID BANK,BANQUE CONVENTIONNELLE,7170304,CENTRE TAIFA,,,
BAB MARZOUKA,AL BARID BANK,BANQUE CONVENTIONNELLE,6910309,CENTRE BAB MARZOUKA,,,
BAB TAZA,AL BARID BANK,BANQUE CONVENTIONNELLE,1560484,"BAB TAZA                      _x000D_
 _x000D_
_x000D_
       _x000D_
_x000D_
            _x000D_
           _x000D_
      _x000D_
      _x000D_
       _x000D_
",,,
BARKINE,AL BARID BANK,BANQUE CONVENTIONNELLE,7040254,CENTRE BARKINE,,,
BEJAAD,AL BARID BANK,BANQUE CONVENTIONNELLE,4050824,"QUAERTIER ADMNISTRATIF  25062 BEJAAD  _x000D_
          _x000D_
                     _x000D_
                 _x000D_
_x000D_
_x000D_
_x000D_
",,,
BEJAAD,AL BARID BANK,BANQUE CONVENTIONNELLE,4050828,"BD  20 AOUT  25063 BEJAAD     _x000D_
          _x000D_
_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
BELFAA,AL BARID BANK,BANQUE CONVENTIONNELLE,0130666,"HAD AIT BELFAA                 _x000D_
_x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
BEN AHMED,AL BARID BANK,BANQUE CONVENTIONNELLE,6150796,"BEN AHMED                     _x000D_
_x000D_
_x000D_
              _x000D_
                     _x000D_
                 _x000D_
_x000D_
_x000D_
_x000D_
",,,
BEN GUERIR,AL BARID BANK,BANQUE CONVENTIONNELLE,2010718,"BENGUERIR VILLE              _x000D_
_x000D_
_x000D_
       _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
                _x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
_x000D_
      _x000D_
_x000D_
_x000D_
_x000D_
",,,
BEN GUERIR,AL BARID BANK,BANQUE CONVENTIONNELLE,2010947,"BENGUERIR PPAL                _x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
_x000D_
",,,
BEN GUERIR,AL BARID BANK,BANQUE CONVENTIONNELLE,2010948,"BASE MILITAIRE NZALAT LAADAM  43153 EL KELAA DES SRAGHNA_x000D_
            _x000D_
   _x000D_
_x000D_
",,,
